MOLD_ID,CT,TAV,SHOT_COUNT,PHASE,HOUR
119961,0.0,257.0,0,1,2023-04-18 05:00:00
119961,0.0,258.0,0,1,2023-04-18 06:00:00
119961,0.0,260.0,0,1,2023-04-18 07:00:00
119961,0.0,259.0,0,1,2023-04-18 08:00:00
119961,0.0,261.0,0,1,2023-04-18 09:00:00
119961,0.0,258.0,0,1,2023-04-18 10:00:00
119961,0.0,259.0,0,1,2023-04-18 11:00:00
119961,0.0,259.0,0,1,2023-04-18 12:00:00
119961,0.0,257.0,0,1,2023-04-18 13:00:00
119961,0.0,256.0,0,1,2023-04-18 14:00:00
119961,0.0,258.0,0,1,2023-04-18 15:00:00
119961,0.0,257.0,0,1,2023-04-18 16:00:00
119961,0.0,256.0,0,1,2023-04-18 17:00:00
119961,0.0,258.0,0,1,2023-04-18 18:00:00
119961,0.0,260.0,0,1,2023-04-18 19:00:00
119961,0.0,260.0,0,1,2023-04-18 20:00:00
119961,0.0,261.0,0,1,2023-04-18 21:00:00
119961,0.0,264.0,0,1,2023-04-18 22:00:00
119961,0.0,263.0,0,1,2023-04-18 23:00:00
119961,0.0,266.0,0,1,2023-04-19 00:00:00
119961,0.0,267.0,0,1,2023-04-19 01:00:00
119961,0.0,268.0,0,1,2023-04-19 02:00:00
119961,0.0,269.0,0,1,2023-04-19 03:00:00
119961,0.0,270.0,0,1,2023-04-19 04:00:00
119961,0.0,269.0,0,1,2023-04-19 05:00:00
119961,0.0,272.0,0,1,2023-04-19 06:00:00
119961,0.0,270.0,0,1,2023-04-19 07:00:00
119961,0.0,270.0,0,1,2023-04-19 08:00:00
119961,0.0,270.0,0,1,2023-04-19 09:00:00
119961,0.0,270.0,0,1,2023-04-19 10:00:00
119961,0.0,268.0,0,1,2023-04-19 11:00:00
119961,0.0,263.0,0,1,2023-04-19 12:00:00
119961,0.0,261.0,0,1,2023-04-19 13:00:00
119961,0.0,256.0,0,1,2023-04-19 14:00:00
119961,0.0,252.0,0,1,2023-04-19 15:00:00
119961,0.0,250.0,0,1,2023-04-19 16:00:00
119961,0.0,247.0,0,1,2023-04-19 17:00:00
119961,0.0,247.0,0,1,2023-04-19 18:00:00
119961,0.0,248.0,0,1,2023-04-19 19:00:00
119961,0.0,247.0,0,1,2023-04-19 20:00:00
119961,0.0,249.0,0,1,2023-04-19 21:00:00
119961,0.0,253.0,0,1,2023-04-19 22:00:00
119961,0.0,253.0,0,1,2023-04-19 23:00:00
119961,0.0,255.0,0,1,2023-04-20 00:00:00
119961,0.0,255.0,0,1,2023-04-20 01:00:00
119961,0.0,258.0,0,1,2023-04-20 02:00:00
119961,0.0,259.0,0,1,2023-04-20 03:00:00
119961,0.0,254.0,0,1,2023-04-20 04:00:00
119961,0.0,255.0,0,1,2023-04-20 05:00:00
119961,0.0,254.0,0,1,2023-04-20 06:00:00
119961,0.0,251.0,0,1,2023-04-20 07:00:00
119961,0.0,253.0,0,1,2023-04-20 08:00:00
119961,0.0,250.0,0,1,2023-04-20 09:00:00
119961,0.0,249.0,0,1,2023-04-20 10:00:00
119961,0.0,247.0,0,1,2023-04-20 11:00:00
119961,0.0,245.0,0,1,2023-04-20 12:00:00
119961,0.0,244.0,0,1,2023-04-20 13:00:00
119961,0.0,243.0,0,1,2023-04-20 14:00:00
119961,0.0,243.0,0,1,2023-04-20 15:00:00
119961,0.0,241.0,0,1,2023-04-20 16:00:00
119961,0.0,242.0,0,1,2023-04-20 17:00:00
119961,0.0,241.0,0,1,2023-04-20 18:00:00
119961,0.0,243.0,0,1,2023-04-20 19:00:00
119961,0.0,244.0,0,1,2023-04-20 20:00:00
119961,0.0,244.0,0,1,2023-04-20 21:00:00
119961,0.0,245.0,0,1,2023-04-20 22:00:00
119961,0.0,243.0,0,1,2023-04-20 23:00:00
119961,0.0,244.0,0,1,2023-04-21 00:00:00
119961,0.0,244.0,0,1,2023-04-21 01:00:00
119961,0.0,246.0,0,1,2023-04-21 02:00:00
119961,0.0,247.0,0,1,2023-04-21 03:00:00
119961,0.0,247.0,0,1,2023-04-21 04:00:00
119961,0.0,250.0,0,1,2023-04-21 05:00:00
119961,0.0,249.0,0,1,2023-04-21 06:00:00
119961,0.0,250.0,0,1,2023-04-21 07:00:00
119961,0.0,248.0,0,1,2023-04-21 08:00:00
119961,0.0,247.0,0,1,2023-04-21 09:00:00
119961,0.0,248.0,0,1,2023-04-21 10:00:00
119961,0.0,245.0,0,1,2023-04-21 11:00:00
119961,0.0,245.0,0,1,2023-04-21 12:00:00
119961,0.0,243.0,0,1,2023-04-21 13:00:00
119961,0.0,242.0,0,1,2023-04-21 14:00:00
119961,0.0,239.0,0,1,2023-04-21 15:00:00
119961,0.0,239.0,0,1,2023-04-21 16:00:00
119961,0.0,237.0,0,1,2023-04-21 17:00:00
119961,0.0,238.0,0,1,2023-04-21 18:00:00
119961,0.0,243.0,0,1,2023-04-21 19:00:00
119961,0.0,242.0,0,1,2023-04-21 20:00:00
119961,0.0,242.0,0,1,2023-04-21 21:00:00
119961,0.0,242.0,0,1,2023-04-21 22:00:00
119961,0.0,241.0,0,1,2023-04-21 23:00:00
119961,0.0,243.0,0,1,2023-04-22 00:00:00
119961,0.0,241.0,0,1,2023-04-22 01:00:00
119961,0.0,240.0,0,1,2023-04-22 02:00:00
119961,0.0,242.0,0,1,2023-04-22 03:00:00
119961,0.0,240.0,0,1,2023-04-22 04:00:00
119961,0.0,239.0,0,1,2023-04-22 05:00:00
119961,0.0,240.0,0,1,2023-04-22 06:00:00
119961,0.0,241.0,0,1,2023-04-22 07:00:00
119961,0.0,244.0,0,1,2023-04-22 08:00:00
119961,0.0,243.0,0,1,2023-04-22 09:00:00
119961,0.0,246.0,0,1,2023-04-22 10:00:00
119961,0.0,246.0,0,1,2023-04-22 11:00:00
119961,0.0,246.0,0,1,2023-04-22 12:00:00
119961,0.0,247.0,0,1,2023-04-22 13:00:00
119961,0.0,245.0,0,1,2023-04-22 14:00:00
119961,0.0,244.0,0,1,2023-04-22 15:00:00
